smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,failure
66,3827368,116.2461082,0,97,0,100,3,100,0,83,183567533,116.028169,7.876204596,92,7409,100,0,100,3,100,0,100,100,100,0,100,0,100,0,100,0,59,41,100,30,100,2,100,376,41,41,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,7333,100,98879592744,100,1.78469E+11,0
78,59033584,116.2461082,0,93,0,100,16,100,0,83,207402577,116.028169,7.876204596,99,918,100,0,100,16,100,0,100,100,100,0,100,0,100,0,100,0,65,35,100,30,100,13,100,61,35,35,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,896,100,33978881741,100,25162880883,0
76,38976768,116.2461082,0,97,0,100,3,100,0,87,450804517,116.028169,7.876204596,70,26441,100,0,100,3,100,0,100,100,100,0,100,0,100,0,100,0,66,34,100,30,100,2,98,5025,34,34,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,24523,100,1.95591E+11,100,4.45811E+11,0
100,0,137,92,83,350,100,16,100,0,100,0,140,15,98,20156,100,0,100,16,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,4570,100,4570,68,28,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,100,0,100,7758,100,12,100,0,100,0,100,0,13,34828,100,0,100,12,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,7,100,3,100,167,100,35,100,0,100,0,100,0,200,0,100,0,100,169082883,14,34584,100,0,100,0,100,589,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,100,0,100,7936,100,7,100,0,100,0,100,0,1,39816,100,0,100,7,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,306,100,3,100,112,100,30,100,0,100,0,100,0,200,0,100,0,100,52035587,2,39530,100,0,100,0,100,593,100,0,100,1.31052E+11,100,5.2985E+11,0
80,99750066,116.2461082,0,94,0,100,11,100,32,82,169237178,116.028169,7.876204596,64,32205,100,0,100,11,100,0,100,100,100,0,100,0,26,74,100,786444,67,33,100,30,100,7,99,3327,33,33,100,0,97,2224,97,2224,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,31241,100,1.58205E+11,100,4.84972E+11,1
100,0,100,0,100,7703,100,11,100,7,100,0,100,0,8,36830,100,0,100,11,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,4,100,2,100,19,100,36,100,7,100,0,100,0,200,0,100,0,100,184811523,9,36590,100,0,100,0,100,588,100,0,100,1.31052E+11,100,5.2985E+11,1
100,0,100,0,100,7892,100,31,100,0,100,0,100,0,25,30288,100,0,100,31,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,0,100,7,100,180,100,36,100,0,100,0,100,0,200,0,100,0,100,85590019,26,29716,100,0,100,0,100,588,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,100,0,100,7962,100,5,100,0,100,0,100,0,1,40097,100,0,100,5,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,4,100,1,100,216,100,27,100,0,100,0,100,0,200,0,100,0,100,84803587,1,39939,100,0,100,0,100,594,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,90,0,100,8450,100,15,100,0,100,0,100,0,30,28282,100,0,100,15,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,712,100,14,100,955,100,24,100,0,100,0,100,0,200,0,100,0,100,236322818,32,27489,100,0,100,0,100,598,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,134,104,84,332,100,10,100,0,100,0,140,15,97,21325,100,0,100,10,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,6843,99,6843,66,29,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
84,226845544,116.2461082,0,92,0,100,15,92,3512,78,73955863701,116.028169,7.876204596,52,42640,100,0,100,14,100,0,100,100,100,0,100,0,1,123,100,30065754127,67,33,100,30,100,3,99,3156,33,33,100,0,100,320,100,320,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,42170,100,1.32224E+11,100,8.17956E+11,1
65,2841072,116.2461082,0,93,0,100,17,100,0,86,433284450,116.028169,7.876204596,98,2249,100,0,100,16,100,0,100,100,100,0,100,0,100,0,100,0,68,32,100,30,100,12,100,324,32,32,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,2236,100,61264929893,100,36883460343,0
100,0,100,0,100,7770,100,7,100,0,100,0,100,0,1,40515,100,0,100,7,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,3,100,5,100,12,100,22,100,0,100,0,100,0,200,0,100,0,100,33554436,1,40474,100,0,100,0,100,592,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,80,0,100,7987,100,13,100,49,100,0,100,0,53,18876,100,0,100,13,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,0,100,12,100,509,100,33,100,49,100,181,100,180,200,0,100,0,100,50462722,54,18697,100,0,100,0,100,597,100,0,100,1.31052E+11,100,5.2985E+11,1
61,61292752,116.2461082,0,89,0,100,55,50,2080,90,1086568141,116.028169,7.876204596,26,64884,100,0,100,53,100,0,100,100,100,0,100,0,1,328,100,0,60,40,94,12457,100,58,66,69233,40,40,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,64428,100,1.05329E+11,100,6.19972E+11,1
100,0,100,0,100,8039,100,5,100,0,100,0,100,0,1,39777,100,0,100,5,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,2,100,0,100,213,100,27,100,0,100,0,100,0,200,0,100,0,100,252444673,2,39585,100,0,100,0,100,591,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,149,44,84,330,100,13,100,0,100,0,140,15,98,14457,100,0,100,13,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,815,100,815,53,40,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
79,71673848,116.2461082,0,94,0,100,5,100,8,90,979287446,116.028169,7.876204596,55,39753,100,0,100,5,100,0,100,100,100,0,100,0,100,0,100,0,70,30,100,30,100,1,99,2964,30,30,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,39141,100,1.61789E+11,100,6.27591E+11,0
100,0,148,47,84,352,100,12,100,0,100,0,140,15,100,681,100,0,100,12,100,0,100,6553700,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,65,100,65,61,34,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
81,123928312,116.2461082,0,92,0,100,7,100,0,86,425359324,116.028169,7.876204596,74,23351,100,0,100,7,100,0,100,100,100,0,100,0,100,0,100,0,59,41,100,30,100,4,100,1916,41,41,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,22710,100,2.03425E+11,100,4.36836E+11,0
83,199101728,116.2461082,0,90,0,100,18,100,0,79,84870067,116.028169,7.876204596,54,40444,100,0,100,18,100,0,100,100,100,0,100,0,100,0,100,0,72,28,100,30,100,4,99,2128,28,28,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,40129,100,91882651160,100,4.32002E+11,0
100,0,100,0,100,7715,100,27,100,0,100,0,100,0,1,55051,100,0,100,27,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,2,100,7,100,102,100,30,100,0,100,0,100,0,200,0,100,0,100,2097153,1,54980,100,0,100,0,100,536,100,0,100,1.31052E+11,100,5.2985E+11,0
49,4667384,116.2461082,0,91,0,100,8,98,9368,90,967776360,116.028169,7.876204596,52,42655,100,0,100,6,100,0,100,100,100,0,100,0,1,477,100,12888834108,78,22,100,30,100,2,99,2029,22,22,100,0,100,104,100,104,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,42279,100,1.25161E+11,100,5.51114E+11,1
100,0,138,96,81,377,100,3,100,0,100,0,133,18,95,35303,100,0,100,3,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,1292,100,1292,59,35,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,133,92,161,407,100,11,100,133,100,0,128,18,94,48842,100,0,100,7,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,2034,99,2034,181,33,100,133,100,147,100,151,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
100,0,135,100,84,333,100,18,100,0,100,0,140,15,98,17052,100,0,100,18,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,1353,100,1353,49,44,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
